part_id,name,module,material,material_group,is_tpu,qty,plate_group,filename,stl,filename_stl,filename_step,bbox_x,bbox_y,bbox_z,usage,notes,print_target
PS-WEED-V001-MANUAL-DROP-LEVER,manual drop release lever,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-C-SAFETY,stl/PS-WEED-V001-MANUAL-DROP-LEVER.stl,stl/PS-WEED-V001-MANUAL-DROP-LEVER.stl,PS-WEED-V001-MANUAL-DROP-LEVER.stl,PS-WEED-V001-MANUAL-DROP-LEVER.step,84.0,18.0,8.0,manual drop lever,used for MANUAL_DROP; pull/press to release latch without PTO,1
PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR,manual lift cord / wire anchor,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-C-SAFETY,stl/PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR.stl,stl/PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR.stl,PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR.stl,PS-WEED-V001-MANUAL-LIFT-CORD-ANCHOR.step,42.0,30.0,16.0,lift cord anchor,anchor for cord/wire so operator can lift/release in water tank tests,1
PS-WEED-V001-PTO-DROP-CAM,PTO drop cam for short release motion,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-D-PTO-DROP,stl/PS-WEED-V001-PTO-DROP-CAM.stl,stl/PS-WEED-V001-PTO-DROP-CAM.stl,PS-WEED-V001-PTO-DROP-CAM.stl,PS-WEED-V001-PTO-DROP-CAM.step,50.0,44.0,10.0,PTO short-stroke release cam,PTO_DROP only; does not drive continuous weeding; stop PTO after release,1
PS-WEED-V001-PTO-DROP-LINK,PTO drop link,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-D-PTO-DROP,stl/PS-WEED-V001-PTO-DROP-LINK.stl,stl/PS-WEED-V001-PTO-DROP-LINK.stl,PS-WEED-V001-PTO-DROP-LINK.stl,PS-WEED-V001-PTO-DROP-LINK.step,94.0,14.0,6.0,link from cam to latch,short visible link; do not bury in mud; use metal pins for load tests,1
PS-WEED-V001-DROP-LATCH,drop latch / raised-state latch,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-D-PTO-DROP,stl/PS-WEED-V001-DROP-LATCH.stl,stl/PS-WEED-V001-DROP-LATCH.stl,PS-WEED-V001-DROP-LATCH.stl,PS-WEED-V001-DROP-LATCH.step,64.0,28.0,10.0,manual/PTO latch,holds rake up; can be released manually or by PTO cam; geometry is first-fit candidate,1
PS-WEED-V001-DROP-LIMIT-STOP,drop limit stop,weed_v001_1_passive_rake,PETG/ASA,HARD,0,2,W001-D-PTO-DROP,stl/PS-WEED-V001-DROP-LIMIT-STOP.stl,stl/PS-WEED-V001-DROP-LIMIT-STOP.stl,PS-WEED-V001-DROP-LIMIT-STOP.stl,PS-WEED-V001-DROP-LIMIT-STOP.step,30.0,20.0,18.0,down travel limiter,prevents over-drop that could damage PTO/front mount; print two,1
PS-WEED-V001-FRONT-MINI-FLOAT-L,left detachable front mini float,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-E-FLOAT,stl/PS-WEED-V001-FRONT-MINI-FLOAT-L.stl,stl/PS-WEED-V001-FRONT-MINI-FLOAT-L.stl,PS-WEED-V001-FRONT-MINI-FLOAT-L.stl,PS-WEED-V001-FRONT-MINI-FLOAT-L.step,96.0,30.0,26.0,front trim float left,optional trim float; not waterproof by printing alone; seal/coat/foam fill before water tests,1
PS-WEED-V001-FRONT-MINI-FLOAT-R,right detachable front mini float,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-E-FLOAT,stl/PS-WEED-V001-FRONT-MINI-FLOAT-R.stl,stl/PS-WEED-V001-FRONT-MINI-FLOAT-R.stl,PS-WEED-V001-FRONT-MINI-FLOAT-R.stl,PS-WEED-V001-FRONT-MINI-FLOAT-R.step,96.0,30.0,26.0,front trim float right,same as left; keeps front PTO from nosing down; optional and removable,1
PS-WEED-V001-DEPTH-GAUGE-S,10/20/30mm rake depth gauge,weed_v001_1_passive_rake,PETG/ASA,HARD,0,1,W001-F-GAUGE,stl/PS-WEED-V001-DEPTH-GAUGE-S.stl,stl/PS-WEED-V001-DEPTH-GAUGE-S.stl,PS-WEED-V001-DEPTH-GAUGE-S.stl,PS-WEED-V001-DEPTH-GAUGE-S.step,86.0,44.0,6.0,rake depth gauge,dry-fit gauge for 10/20/30mm tine depth settings,1
PS-WEED-V001-WIDTH-GAUGE-300MM-S,300mm row width gauge reference only,weed_v001_1_passive_rake,REFERENCE,REFERENCE,0,0,W001-F-GAUGE-REF,stl/PS-WEED-V001-WIDTH-GAUGE-300MM-S.stl,stl/PS-WEED-V001-WIDTH-GAUGE-300MM-S.stl,PS-WEED-V001-WIDTH-GAUGE-300MM-S.stl,PS-WEED-V001-WIDTH-GAUGE-300MM-S.step,300.0,20.0,5.0,reference row spacing gauge only,do not print as one piece on Bambu A1; use 150mm A/B split gauge parts instead,0
PS-WEED-V001-WIDTH-GAUGE-150MM-A,150mm row width gauge half A reference only,weed_v001_1_passive_rake,REFERENCE,REFERENCE,0,0,W001-F-GAUGE-REF,stl/PS-WEED-V001-WIDTH-GAUGE-150MM-A.stl,stl/PS-WEED-V001-WIDTH-GAUGE-150MM-A.stl,PS-WEED-V001-WIDTH-GAUGE-150MM-A.stl,PS-WEED-V001-WIDTH-GAUGE-150MM-A.step,150.0,20.0,5.0,row spacing gauge half A reference,reference-only; use a ruler/tape or create a separate simple gauge outside dense print workflow,0
PS-WEED-V001-WIDTH-GAUGE-150MM-B,150mm row width gauge half B reference only,weed_v001_1_passive_rake,REFERENCE,REFERENCE,0,0,W001-F-GAUGE-REF,stl/PS-WEED-V001-WIDTH-GAUGE-150MM-B.stl,stl/PS-WEED-V001-WIDTH-GAUGE-150MM-B.stl,PS-WEED-V001-WIDTH-GAUGE-150MM-B.stl,PS-WEED-V001-WIDTH-GAUGE-150MM-B.step,150.0,20.0,5.0,row spacing gauge half B reference,reference-only; use a ruler/tape or create a separate simple gauge outside dense print workflow,0
PS-WEED-V001-LIMIT-BUMPER-TPU-S,optional TPU soft limit bumper,weed_v001_1_passive_rake,TPU,TPU,1,2,W001-G-TPU-OPTIONAL,stl/PS-WEED-V001-LIMIT-BUMPER-TPU-S.stl,stl/PS-WEED-V001-LIMIT-BUMPER-TPU-S.stl,PS-WEED-V001-LIMIT-BUMPER-TPU-S.stl,PS-WEED-V001-LIMIT-BUMPER-TPU-S.step,24.0,14.0,6.0,optional soft stop bumper,optional TPU bumper for drop-limit impact; remove if TPU workflow should be skipped,1
