plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
2,02_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,3,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,True,94.0,52.0,114.0,104.0,20.0,52.0,10.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no powered water tests without cutoff plan
3,03_rigid_all_dense,RIGID,PS-RV227-BBOX-BDY,PS-RV227-BBOX-BDY.stl,1,FULLSET-BOX-BBOX-BDY,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,82.0,44.0,200.0,162.0,120.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,"v2274: 200x150 body; two top-open rounded-bottom wire-drop notches per box on 200mm wide faces: one inner-side and one outer-side; not two notches on same side; drip-resistant only, not waterproof; seal with silicone/boot/gland/potting; dummy-weight first water test only"
3,03_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-R,PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl,1,V228R-C-SIDE-BUOY-R,common_rover_v228_1_dual_pto_output,True,-118.0,48.0,14.0,86.0,132.0,38.0,35.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary buoyancy; not guaranteed waterproof without sealing/coating/foam
3,03_rigid_all_dense,RIGID,PS-RV228-SIDE-MOTOR-POD-MOUNT-R,PS-RV228-SIDE-MOTOR-POD-MOUNT-R.stl,1,V228R-C-SIDE-MOTOR-MOUNT-R,common_rover_v228_1_dual_pto_output,True,18.0,48.0,90.0,100.0,72.0,52.0,46.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,fixed core: motor box on upper side wall; high motor/electrical contacts
3,03_rigid_all_dense,RIGID,PS-RV2273G1-INT-BAT-BAG-RAIL-S,PS-RV2273G1-INT-BAT-BAG-RAIL-S.stl,1,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,True,94.0,-118.0,114.0,24.0,20.0,142.0,13.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,avoid puncturing waterproof bag
3,03_rigid_all_dense,RIGID,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,4,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,True,94.0,28.0,114.0,80.0,20.0,52.0,10.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,no powered water tests without cutoff plan
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,1,FULLSET-BOX-NOTCH-CAP,common_rover_v228_1_dual_pto_output,True,94.0,84.0,118.0,118.0,24.0,34.0,12.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,drip-resistant helper only; not waterproof; use silicone boot/gland/potting for real cable sealing
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,2,FULLSET-BOX-NOTCH-CAP,common_rover_v228_1_dual_pto_output,False,-118.0,90.0,-84.0,114.0,34.0,24.0,12.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,drip-resistant helper only; not waterproof; use silicone boot/gland/potting for real cable sealing
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,3,FULLSET-BOX-NOTCH-CAP,common_rover_v228_1_dual_pto_output,False,-80.0,90.0,-46.0,114.0,34.0,24.0,12.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,drip-resistant helper only; not waterproof; use silicone boot/gland/potting for real cable sealing
3,03_rigid_all_dense,RIGID,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S,PS-RV2273v2274-BOX-NOTCH-RAIN-CAP-S.stl,4,FULLSET-BOX-NOTCH-CAP,common_rover_v228_1_dual_pto_output,False,-42.0,90.0,-8.0,114.0,34.0,24.0,12.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,drip-resistant helper only; not waterproof; use silicone boot/gland/potting for real cable sealing
4,04_rigid_all_dense,RIGID,PS-RV227-CBOX-BDY,PS-RV227-CBOX-BDY.stl,1,FULLSET-BOX-CBOX-BDY,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,82.0,44.0,200.0,162.0,120.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,"v2274: 200x150 body; two top-open rounded-bottom wire-drop notches per box on 200mm wide faces: one inner-side and one outer-side; not two notches on same side; drip-resistant only, not waterproof; seal with silicone/boot/gland/potting; dummy-weight first water test only"
4,04_rigid_all_dense,RIGID,PS-RV228-BUOYANCY-CHAMBER-SIDE-R,PS-RV228-BUOYANCY-CHAMBER-SIDE-R.stl,2,V228R-C-SIDE-BUOY-R,common_rover_v228_1_dual_pto_output,True,-118.0,48.0,14.0,86.0,132.0,38.0,35.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary buoyancy; not guaranteed waterproof without sealing/coating/foam
4,04_rigid_all_dense,RIGID,PS-RV2273G1-INT-BAT-BAG-RAIL-S,PS-RV2273G1-INT-BAT-BAG-RAIL-S.stl,2,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,False,-118.0,90.0,24.0,110.0,142.0,20.0,13.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,avoid puncturing waterproof bag
4,04_rigid_all_dense,RIGID,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S.stl,1,V228R-C-FRONT-PTO-FLOAT-MOUNT,common_rover_v228_1_dual_pto_output,False,18.0,48.0,72.0,82.0,54.0,34.0,23.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,front PTO work units may need their own float; optional but recommended for heavy units
4,04_rigid_all_dense,RIGID,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S.stl,2,V228R-C-FRONT-PTO-FLOAT-MOUNT,common_rover_v228_1_dual_pto_output,True,76.0,48.0,110.0,102.0,34.0,54.0,23.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,front PTO work units may need their own float; optional but recommended for heavy units
5,05_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-F-L,PS-RV228-TURTLE-SHELL-UPPER-F-L.stl,1,V228R-C-UPPER-SHELL-F-L,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,-10.0,38.0,108.0,156.0,28.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion
5,05_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-F-R,PS-RV228-TURTLE-SHELL-UPPER-F-R.stl,1,V228R-C-UPPER-SHELL-F-R,common_rover_v228_1_dual_pto_output,False,-6.0,-118.0,102.0,38.0,108.0,156.0,28.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion
5,05_rigid_all_dense,RIGID,PS-RV2273G1-INT-FUSE-RELAY-TRAY,PS-RV2273G1-INT-FUSE-RELAY-TRAY.stl,1,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,False,-118.0,42.0,12.0,118.0,130.0,76.0,13.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,layout study only
5,05_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,1,HQG1-C-MOUNTS,common_rover_v228_1_dual_pto_output,False,16.0,42.0,54.0,88.0,38.0,46.0,26.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,measure actual printed MCR rail before tightening
5,05_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,2,HQG1-C-MOUNTS,common_rover_v228_1_dual_pto_output,True,58.0,42.0,104.0,80.0,46.0,38.0,26.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,measure actual printed MCR rail before tightening
6,06_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-R-L,PS-RV228-TURTLE-SHELL-UPPER-R-L.stl,1,V228R-C-UPPER-SHELL-R-L,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,-10.0,38.0,108.0,156.0,28.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion
6,06_rigid_all_dense,RIGID,PS-RV228-TURTLE-SHELL-UPPER-R-R,PS-RV228-TURTLE-SHELL-UPPER-R-R.stl,1,V228R-C-UPPER-SHELL-R-R,common_rover_v228_1_dual_pto_output,False,-6.0,-118.0,102.0,38.0,108.0,156.0,28.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,secondary splash/mud/sun cover only; not waterproof; fixed core preserved; left/right split avoids oversize exclusion
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,3,HQG1-C-MOUNTS,common_rover_v228_1_dual_pto_output,False,-118.0,42.0,-80.0,88.0,38.0,46.0,26.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,measure actual printed MCR rail before tightening
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,4,HQG1-C-MOUNTS,common_rover_v228_1_dual_pto_output,False,-76.0,42.0,-38.0,88.0,38.0,46.0,26.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,measure actual printed MCR rail before tightening
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,5,HQG1-C-MOUNTS,common_rover_v228_1_dual_pto_output,False,-34.0,42.0,4.0,88.0,38.0,46.0,26.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,measure actual printed MCR rail before tightening
6,06_rigid_all_dense,RIGID,PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,6,HQG1-C-MOUNTS,common_rover_v228_1_dual_pto_output,False,8.0,42.0,46.0,88.0,38.0,46.0,26.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,measure actual printed MCR rail before tightening
7,07_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-F-L,PS-RV228-BELLY-HULL-CENTER-F-L.stl,1,V228R-C-BELLY-HULL-F-L,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,-10.0,38.0,108.0,156.0,32.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,printed buoyancy needs sealing/coating/foam; dummy-weight water test only; split avoids oversized exclusion
7,07_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-F-R,PS-RV228-BELLY-HULL-CENTER-F-R.stl,1,V228R-C-BELLY-HULL-F-R,common_rover_v228_1_dual_pto_output,False,-6.0,-118.0,102.0,38.0,108.0,156.0,32.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,printed buoyancy needs sealing/coating/foam; dummy-weight water test only; split avoids oversized exclusion
8,08_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-R-L,PS-RV228-BELLY-HULL-CENTER-R-L.stl,1,V228R-C-BELLY-HULL-R-L,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,-10.0,38.0,108.0,156.0,32.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,printed buoyancy needs sealing/coating/foam; dummy-weight water test only; split avoids oversized exclusion
8,08_rigid_all_dense,RIGID,PS-RV228-BELLY-HULL-CENTER-R-R,PS-RV228-BELLY-HULL-CENTER-R-R.stl,1,V228R-C-BELLY-HULL-R-R,common_rover_v228_1_dual_pto_output,False,-6.0,-118.0,102.0,38.0,108.0,156.0,32.0,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,printed buoyancy needs sealing/coating/foam; dummy-weight water test only; split avoids oversized exclusion
9,09_rigid_all_dense,RIGID,PS-RV2273G1-INT-PCB-SHELF-S,PS-RV2273G1-INT-PCB-SHELF-S.stl,1,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,20.0,-26.0,138.0,92.0,16.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,keeps PCB above first ingress water; still not waterproof
9,09_rigid_all_dense,RIGID,PS-RV2273G1-INT-PCB-SHELF-S,PS-RV2273G1-INT-PCB-SHELF-S.stl,2,HQG1-D-INTERNAL,common_rover_v228_1_dual_pto_output,True,24.0,-118.0,116.0,20.0,92.0,138.0,16.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,keeps PCB above first ingress water; still not waterproof
9,09_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,1,MS-B-HARD-WHEEL-HUB,common_rover_v228_1_dual_pto_output,False,-118.0,-22.0,-9.6,86.366,108.4,108.366,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,HARD hub/core/axle bore; TPU is limited to external replaceable tread contact surface
9,09_rigid_all_dense,RIGID,PS-RV2273G1-RCP-DOGHOUSE-G3,PS-RV2273G1-RCP-DOGHOUSE-G3.stl,1,HQG1-C-DOGHOUSE,common_rover_v228_1_dual_pto_output,False,-5.6,24.0,110.4,116.0,116.0,92.0,60.34,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,"requires real waterproof E-stop, cable gland, potting, drip loop"
10,10_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,2,MS-B-HARD-WHEEL-HUB,common_rover_v228_1_dual_pto_output,False,-118.0,-118.0,-9.6,-9.634,108.4,108.366,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,HARD hub/core/axle bore; TPU is limited to external replaceable tread contact surface
10,10_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,3,MS-B-HARD-WHEEL-HUB,common_rover_v228_1_dual_pto_output,False,-5.6,-118.0,102.8,-9.634,108.4,108.366,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,HARD hub/core/axle bore; TPU is limited to external replaceable tread contact surface
10,10_rigid_all_dense,RIGID,PS-RV2274-WHL-HUB-S,PS-RV2274-WHL-HUB-S.stl,4,MS-B-HARD-WHEEL-HUB,common_rover_v228_1_dual_pto_output,True,-118.0,-5.634,-9.634,102.766,108.366,108.4,48.0,AXIS24_04,auto-flat,not_printed,not_sliced,not_assembled,HARD hub/core/axle bore; TPU is limited to external replaceable tread contact surface
