check_id,classification,requirement,authority_scope,intersection_count,intersection_volume_mm3,minimum_distance_mm,unknown_physical_dimensions,note
LEFT_DRIVE_BELT_VS_FRONT_TRACK_DIAGONAL,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,Track diagonal is inboard of the drive belt plane.
RIGHT_DRIVE_BELT_VS_FRONT_TRACK_DIAGONAL,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,Track diagonal is inboard of the drive belt plane.
LEFT_DRIVE_BELT_VS_TRACK_CONNECTING_POSTS,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,Both diagonal connecting posts are included.
RIGHT_DRIVE_BELT_VS_TRACK_CONNECTING_POSTS,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.5,True,Both diagonal connecting posts are included.
LEFT_PTO_BELT_VS_2020_DIAGONAL,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,70.0,True,Diagonal is vertically below the PTO belt sweep.
RIGHT_PTO_BELT_VS_2020_DIAGONAL,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,70.0,True,Diagonal is vertically below the PTO belt sweep.
LEFT_PTO_BELT_VS_FRONT_CROSSBAR,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,71.5295,True,Front crossbar is vertically below the pulley envelope.
RIGHT_PTO_BELT_VS_FRONT_CROSSBAR,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,71.5295,True,Front crossbar is vertically below the pulley envelope.
LEFT_PTO_PULLEY_VS_KP000,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,11.0,True,The 60T pulley is between two independent bearing reservations.
RIGHT_PTO_PULLEY_VS_KP000,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,11.0,True,The 60T pulley is between two independent bearing reservations.
CBOX_LID_SERVICE_VS_POWER_COMPONENTS,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,27.0088,True,Only a 50 mm vertical service reservation is represented.
BBOX_LID_SERVICE_VS_POWER_COMPONENTS,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,175.0,True,"Actual lid hinges, latches and removal height are unknown."
BATTERY_CASSETTE_REAR_REMOVAL_PATH_VS_STRUCTURE,HOLD / PART_MEASUREMENT_REQUIRED,NO_SOLID_INTERSECTION_IN_CANDIDATE_ENVELOPE_MODEL,SIMPLIFIED_CANDIDATE_ENVELOPE,0,0.0,15.0,True,Rearward path after the BBOX rear face is represented.
LEFT_CLUTCH_STATE_DRIVE,HOLD / PART_MEASUREMENT_REQUIRED,NO_FRAME_CONTACT_AND_SINGLE_STATE_ENGAGEMENT,PLACEHOLDER_FULL_STROKE_ENVELOPE,0,0.0,97.5,True,"Candidate full-stroke reserve is clear; dog geometry, stroke and engagement length are unmeasured."
LEFT_CLUTCH_STATE_NEUTRAL,HOLD / PART_MEASUREMENT_REQUIRED,NO_FRAME_CONTACT_AND_SINGLE_STATE_ENGAGEMENT,PLACEHOLDER_FULL_STROKE_ENVELOPE,0,0.0,97.5,True,"Candidate full-stroke reserve is clear; dog geometry, stroke and engagement length are unmeasured."
LEFT_CLUTCH_STATE_PTO,HOLD / PART_MEASUREMENT_REQUIRED,NO_FRAME_CONTACT_AND_SINGLE_STATE_ENGAGEMENT,PLACEHOLDER_FULL_STROKE_ENVELOPE,0,0.0,97.5,True,"Candidate full-stroke reserve is clear; dog geometry, stroke and engagement length are unmeasured."
LEFT_DRIVE_TENSIONER_MINIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
LEFT_PTO_TENSIONER_MINIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
LEFT_DRIVE_TENSIONER_NOMINAL,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
LEFT_PTO_TENSIONER_NOMINAL,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
LEFT_DRIVE_TENSIONER_MAXIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
LEFT_PTO_TENSIONER_MAXIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
RIGHT_CLUTCH_STATE_DRIVE,HOLD / PART_MEASUREMENT_REQUIRED,NO_FRAME_CONTACT_AND_SINGLE_STATE_ENGAGEMENT,PLACEHOLDER_FULL_STROKE_ENVELOPE,0,0.0,97.5,True,"Candidate full-stroke reserve is clear; dog geometry, stroke and engagement length are unmeasured."
RIGHT_CLUTCH_STATE_NEUTRAL,HOLD / PART_MEASUREMENT_REQUIRED,NO_FRAME_CONTACT_AND_SINGLE_STATE_ENGAGEMENT,PLACEHOLDER_FULL_STROKE_ENVELOPE,0,0.0,97.5,True,"Candidate full-stroke reserve is clear; dog geometry, stroke and engagement length are unmeasured."
RIGHT_CLUTCH_STATE_PTO,HOLD / PART_MEASUREMENT_REQUIRED,NO_FRAME_CONTACT_AND_SINGLE_STATE_ENGAGEMENT,PLACEHOLDER_FULL_STROKE_ENVELOPE,0,0.0,97.5,True,"Candidate full-stroke reserve is clear; dog geometry, stroke and engagement length are unmeasured."
RIGHT_DRIVE_TENSIONER_MINIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
RIGHT_PTO_TENSIONER_MINIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
RIGHT_DRIVE_TENSIONER_NOMINAL,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
RIGHT_PTO_TENSIONER_NOMINAL,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
RIGHT_DRIVE_TENSIONER_MAXIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
RIGHT_PTO_TENSIONER_MAXIMUM,HOLD / PART_MEASUREMENT_REQUIRED,FULL_TENSIONER_RANGE_CLEAR_OF_FRAME_AND_BELT_GUARD,RESERVED_VOLUME_ONLY,,,,True,Tensioner geometry and travel are not available.
PTO_LEFT_OUTER_END_Y,HOLD / PART_MEASUREMENT_REQUIRED,PTO_LEFT_OUTER_END_Y < 150,CANDIDATE_END_PLANE,,,,True,"Coupling, pin, cap and fastener protrusions are unmeasured."
PTO_RIGHT_OUTER_END_Y,HOLD / PART_MEASUREMENT_REQUIRED,ABS(PTO_RIGHT_OUTER_END_Y) < 150,CANDIDATE_END_PLANE,,,,True,"Coupling, pin, cap and fastener protrusions are unmeasured."
TOTAL_WIDTH_WITH_FASTENERS,HOLD / PART_MEASUREMENT_REQUIRED,TOTAL_WIDTH_WITH_FASTENERS <= 299 AND < 300,CANDIDATE_ENVELOPES_ONLY,,,,True,"Track spikes, real couplings, bolt heads, latches and guards must be added before width release."
BBOX_EFFECTIVE_INTERIOR_VS_CASSETTE,HOLD / FIELD_MEASUREMENT_REQUIRED,BBOX_EFFECTIVE_INTERIOR >= 129 X 184 X 125,EXTERNAL_DIMENSION_COMPARISON_ONLY,,,,True,"Wall, lid, gasket, base, guide, contact and latch consume space."
BOX_BOTTOM_TO_TRACK_DYNAMIC,HOLD / FIELD_MEASUREMENT_REQUIRED,CLEARANCE >= 10; RECOMMENDED >= 20,CANDIDATE_TRACK_PRISM,,,,True,Candidate meets minimum but not recommendation; dynamic data absent.
AXIAL_PLAY_FRAME_ERROR_AND_DEFORMATION,HOLD / PART_MEASUREMENT_REQUIRED,"CHECK +/-1 AXIAL PLAY, +/-1 FRAME ERROR, 2 MM DEFORMATION",ERROR_BUDGET_RECORDED_NOT_PHYSICALLY_VALIDATED,,,,True,Known numeric allowances are recorded; unknown sway/runout blocks release.
