plate_no,plate_name,material,part_id,filename,instance,plate_group,module,rotated_90,x_min,y_min,x_max,y_max,bbox_x,bbox_y,bbox_z,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
7,07_rigid_A1-HARD-03,RIGID,PS-RV227-CBOX-LID,stl/PS-RV227-CBOX-LID.stl,1,A1-HARD-03,common_rover_v227,False,-112.0,-112.0,54.0,104.0,166.0,216.0,9.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-safe flat lid; solid lid label OK
8,08_rigid_A1-HARD-03,RIGID,PS-RV227-BBOX-LID,stl/PS-RV227-BBOX-LID.stl,1,A1-HARD-03,common_rover_v227,False,-112.0,-112.0,54.0,104.0,166.0,216.0,9.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-safe flat lid; solid lid label OK
9,09_rigid_A1-HARD-03,RIGID,PS-RV227-CBOX-BDY,stl/PS-RV227-CBOX-BDY.stl,1,A1-HARD-03,common_rover_v227,False,-112.0,-112.0,38.2,88.2,150.2,200.2,127.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,two top-open wire-drop notches with bottom-only rounded cable guide; no floating body label
9,09_rigid_A1-HARD-03,RIGID,PS-RV227-DBX-RC,stl/PS-RV227-DBX-RC.stl,1,A1-HARD-03,common_rover_v227,True,46.2,-112.0,100.2,48.0,54.0,160.0,6.2,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean flat shingle raincoat cover; usage angle by mounting
10,10_rigid_A1-HARD-03,RIGID,PS-RV227-BBOX-BDY,stl/PS-RV227-BBOX-BDY.stl,1,A1-HARD-03,common_rover_v227,False,-112.0,-112.0,38.2,88.2,150.2,200.2,127.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,two top-open wire-drop notches with bottom-only rounded cable guide; no floating body label
11,11_rigid_A1-HARD-04,RIGID,PS-RCP-G1,stl/PS-RCP-G1.stl,1,A1-HARD-04,common_rover_v227,False,-112.0,-112.0,72.0,-40.0,184.0,72.0,15.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,"real switch hole panel: 23mm E-stop, 17mm buttons, LED/buzzer holes, rear potting cups"
11,11_rigid_A1-HARD-04,RIGID,PS-RV227-PTO,stl/PS-RV227-PTO.stl,1,A1-HARD-04,common_rover_v227,False,-112.0,-32.0,50.0,38.0,162.0,70.0,18.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean face-up PTO representation; PTO stays on front lower face and is separated from emergency-stop controls
11,11_rigid_A1-HARD-04,RIGID,PS-RV227-RCP-BRKT,stl/PS-RV227-RCP-BRKT.stl,1,A1-HARD-04,common_rover_v227,False,-112.0,46.0,-14.0,107.0,98.0,61.0,67.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,separates E-stop access from PTO face; mounts control panel above box edge with front/rear bolt slots
12,12_rigid_A1-HARD-04,RIGID,PS-RV227-MPL,stl/PS-RV227-MPL.stl,1,A1-HARD-04,common_rover_v227,False,-112.0,-112.0,20.0,-30.0,132.0,82.0,58.0,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,left high mounted motor pod; v2.27 fused cable boss; recessed external label
12,12_rigid_A1-HARD-04,RIGID,PS-RV227-MPR,stl/PS-RV227-MPR.stl,1,A1-HARD-04,common_rover_v227,True,28.0,-112.0,110.0,20.0,82.0,132.0,58.0,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,right high mounted motor pod; v2.27 fused cable boss; recessed external label
12,12_rigid_A1-HARD-04,RIGID,PS-WCH-G1,stl/PS-WCH-G1.stl,1,A1-HARD-04,common_rover_v227,False,-112.0,28.0,-20.0,98.0,92.0,70.0,6.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,support-clean flat shingle cable hood; usage angle by mounting
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-GEA-18T-S,stl/PS-RV227-GEA-18T-S.stl,1,A1-HARD-05,common_rover_v227,False,-112.0,-112.0,20.0,-66.0,132.0,46.0,9.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,assembly/test gears; metal rods still recommended for load
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-CVR-S,stl/PS-RV227-DRC-CVR-S.stl,1,A1-HARD-05,common_rover_v227,False,28.0,-112.0,80.0,0.0,52.0,112.0,8.4,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,four slide service covers
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-LF,stl/PS-RV227-DRC-LF.stl,1,A1-HARD-05,common_rover_v227,True,-112.0,-58.0,8.0,-22.8,120.0,35.2,34.2,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-LR,stl/PS-RV227-DRC-LR.stl,1,A1-HARD-05,common_rover_v227,False,-112.0,-14.8,-76.8,105.2,35.2,120.0,34.2,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-RF,stl/PS-RV227-DRC-RF.stl,1,A1-HARD-05,common_rover_v227,False,-68.8,-14.8,-33.6,105.2,35.2,120.0,34.2,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-RR,stl/PS-RV227-DRC-RR.stl,1,A1-HARD-05,common_rover_v227,False,-25.6,-14.8,9.6,105.2,35.2,120.0,34.2,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-IDR-S,stl/PS-RV227-IDR-S.stl,1,A1-HARD-05,common_rover_v227,False,17.6,8.0,109.6,36.0,92.0,28.0,8.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,idler rollers for belt/chain route mockup
14,14_rigid_A1-HARD-05,RIGID,PS-RV227-PIN-S,stl/PS-RV227-PIN-S.stl,1,A1-HARD-05,common_rover_v227,False,-112.0,-112.0,10.0,-82.0,122.0,30.0,23.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed service pins and retainers
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-DRIVE-L,stl/PS-RV227-DRIVE-L.stl,1,A1-HARD-06,common_rover_v227,False,-112.0,-112.0,106.0,-70.0,218.0,42.0,9.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,visible belt/chain drive path from drive case output to front/rear wheel axles
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-DRIVE-R,stl/PS-RV227-DRIVE-R.stl,1,A1-HARD-06,common_rover_v227,False,-112.0,-62.0,106.0,-20.0,218.0,42.0,9.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,visible belt/chain drive path from drive case output to front/rear wheel axles
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-WBASE-L,stl/PS-RV227-WBASE-L.stl,1,A1-HARD-06,common_rover_v227,False,-112.0,-12.0,112.0,18.0,224.0,30.0,27.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,moving model wheelbase; axle carrier rail; low-load printed model
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-WBASE-R,stl/PS-RV227-WBASE-R.stl,1,A1-HARD-06,common_rover_v227,False,-112.0,26.0,112.0,56.0,224.0,30.0,27.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,moving model wheelbase; axle carrier rail; low-load printed model
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-AXLE-HUB-S,stl/PS-RV227-AXLE-HUB-S.stl,1,A1-HARD-06,common_rover_v227,False,-112.0,64.0,16.0,102.0,128.0,38.0,11.7,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,low-load model hubs/retainers for printed axles and TPU wheels
16,16_rigid_A1-HARD-07,RIGID,PS-RV227-HULL-SKID,stl/PS-RV227-HULL-SKID.stl,1,A1-HARD-07,common_rover_v227,False,-112.0,-112.0,66.0,102.0,178.0,214.0,13.8,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,shallow underbody boat/skid tray for low-load moving model and float layout check
16,16_rigid_A1-HARD-07,RIGID,PS-RV227-FLT-L,stl/PS-RV227-FLT-L.stl,1,A1-HARD-07,common_rover_v227,False,74.0,-112.0,104.0,-90.2,30.0,21.8,242.592,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,support-clean side float / mud skid pontoon; model only until sealed
16,16_rigid_A1-HARD-07,RIGID,PS-RV227-FLT-R,stl/PS-RV227-FLT-R.stl,1,A1-HARD-07,common_rover_v227,False,74.0,-82.2,104.0,-60.4,30.0,21.8,242.592,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,support-clean side float / mud skid pontoon; model only until sealed
17,17_rigid_A1-HARD-08,RIGID,PS-RV227-PAX-6X172-S,stl/PS-RV227-PAX-6X172-S.stl,1,A1-HARD-08,common_rover_v227,False,-112.0,-112.0,78.0,-68.0,190.0,44.0,6.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,plastic surrogate for 6mm x 172mm wheel axles; low-load model only
17,17_rigid_A1-HARD-08,RIGID,PS-RV227-PAX-4X54-S,stl/PS-RV227-PAX-4X54-S.stl,1,A1-HARD-08,common_rover_v227,True,-112.0,-60.0,-66.0,66.0,46.0,126.0,4.5,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,plastic surrogate for 4mm x 54mm gearbox rods; low-load model only
17,17_rigid_A1-HARD-08,RIGID,PS-RV227-PAX-6X52-S,stl/PS-RV227-PAX-6X52-S.stl,1,A1-HARD-08,common_rover_v227,False,-112.0,74.0,-22.0,102.0,90.0,28.0,6.1,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,plastic surrogate for 6mm x 52mm PTO/alignment rods; low-load model only
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-AXLE-SPROCKET-S,stl/PS-RV227-AXLE-SPROCKET-S.stl,1,A1-HARD-09,common_rover_v227,False,-112.0,-112.0,20.0,-60.0,132.0,52.0,6.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,four axle sprockets/pulleys plus spacers for printed wheel axles
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-FLT-BRACKET-S,stl/PS-RV227-FLT-BRACKET-S.stl,1,A1-HARD-09,common_rover_v227,True,-112.0,-52.0,-66.0,90.0,46.0,142.0,8.6,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,brackets connecting side floats and central hull/skid to lower frame
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-GBOX-INTERNAL-L,stl/PS-RV227-GBOX-INTERNAL-L.stl,1,A1-HARD-09,common_rover_v227,True,28.0,-112.0,74.0,6.0,46.0,118.0,10.1,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed gear train mockup replacing metal gears for low-load model
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-GBOX-INTERNAL-R,stl/PS-RV227-GBOX-INTERNAL-R.stl,1,A1-HARD-09,common_rover_v227,True,-58.0,-52.0,-12.0,66.0,46.0,118.0,10.1,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed gear train mockup replacing metal gears for low-load model
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-LOWER-FRAME,stl/PS-RV227-LOWER-FRAME.stl,1,A1-HARD-09,common_rover_v227,True,82.0,-112.0,109.7,80.0,27.7,192.0,232.0,AXIS24_14,auto-flat,not_printed,not_sliced,not_assembled,clear wheelbase frame with front/rear axle carriers and center gearbox mounts
19,19_rigid_A1-HARD-10,RIGID,PS-RV227-FLT-RCV-FR-S,stl/PS-RV227-FLT-RCV-FR-S.stl,1,A1-HARD-10,common_rover_v227,False,-112.0,-112.0,76.0,-54.0,188.0,58.0,13.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,front and rear cross saddles for float blocks; avoids side-width growth
19,19_rigid_A1-HARD-10,RIGID,PS-RV227-FLT-RCV-L,stl/PS-RV227-FLT-RCV-L.stl,1,A1-HARD-10,common_rover_v227,False,84.0,-112.0,108.0,-94.0,24.0,18.0,226.0,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,removable inboard side receiver for FLT-L or foam float; keeps float mount inside wheel envelope where possible
19,19_rigid_A1-HARD-10,RIGID,PS-RV227-FLT-RCV-R,stl/PS-RV227-FLT-RCV-R.stl,1,A1-HARD-10,common_rover_v227,False,84.0,-86.0,108.0,-68.0,24.0,18.0,226.0,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,removable inboard side receiver for FLT-R or foam float; keeps float mount inside wheel envelope where possible
20,20_rigid_A1-HARD-METAL-PRINT,RIGID,REF-METAL-01-6mm-x-172mm,REF-METAL-01-6mm-x-172mm.stl,1,A1-HARD-METAL-PRINT,printed_metal_replacement_model,False,-112.0,-112.0,60.0,-106.002,172.0,5.998,6.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,MODEL ONLY: reference metal rod printed as rigid plastic surrogate; replace with real metal for load/field tests
20,20_rigid_A1-HARD-METAL-PRINT,RIGID,REF-METAL-03-6mm-x-52mm,REF-METAL-03-6mm-x-52mm.stl,1,A1-HARD-METAL-PRINT,printed_metal_replacement_model,True,68.0,-112.0,73.998,-60.0,5.998,52.0,6.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,MODEL ONLY: reference metal rod printed as rigid plastic surrogate; replace with real metal for load/field tests
20,20_rigid_A1-HARD-METAL-PRINT,RIGID,REF-METAL-02-4mm-x-54mm,REF-METAL-02-4mm-x-54mm.stl,1,A1-HARD-METAL-PRINT,printed_metal_replacement_model,True,81.998,-112.0,85.997,-58.0,3.999,54.0,4.0,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,MODEL ONLY: reference metal rod printed as rigid plastic surrogate; replace with real metal for load/field tests
