print_order,plate_name,material,part_id,filename,instance,qty_total,source_stl,plate_group,module,title,rotated_90,support_orientation,support_orient_mode,printed_status,slice_status,assembly_status,notes
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-DRC-RR,stl/PS-RV227-DRC-RR.stl,1,1,rover_v227_out\stl\PS-RV227-DRC-RR.stl,A1-HARD-05,common_rover_v227,right rear functional drive case half,False,AXIS24_01,auto-flat,not_printed,not_sliced,not_assembled,"cavity, rod holes, service cover rail, drain"
13,13_rigid_A1-HARD-05,RIGID,PS-RV227-IDR-S,stl/PS-RV227-IDR-S.stl,1,1,rover_v227_out\stl\PS-RV227-IDR-S.stl,A1-HARD-05,common_rover_v227,printed idler roller set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,idler rollers for belt/chain route mockup
14,14_rigid_A1-HARD-05,RIGID,PS-RV227-PIN-S,stl/PS-RV227-PIN-S.stl,1,1,rover_v227_out\stl\PS-RV227-PIN-S.stl,A1-HARD-05,common_rover_v227,printed service pin and retainer set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed service pins and retainers
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-DRIVE-L,stl/PS-RV227-DRIVE-L.stl,1,1,rover_v227_out\stl\PS-RV227-DRIVE-L.stl,A1-HARD-06,common_rover_v227,left visible gearbox-to-wheel drive path module,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,visible belt/chain drive path from drive case output to front/rear wheel axles
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-DRIVE-R,stl/PS-RV227-DRIVE-R.stl,1,1,rover_v227_out\stl\PS-RV227-DRIVE-R.stl,A1-HARD-06,common_rover_v227,right visible gearbox-to-wheel drive path module,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,visible belt/chain drive path from drive case output to front/rear wheel axles
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-WBASE-L,stl/PS-RV227-WBASE-L.stl,1,1,rover_v227_out\stl\PS-RV227-WBASE-L.stl,A1-HARD-06,common_rover_v227,left printable wheelbase side rail with axle carriers,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,moving model wheelbase; axle carrier rail; low-load printed model
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-WBASE-R,stl/PS-RV227-WBASE-R.stl,1,1,rover_v227_out\stl\PS-RV227-WBASE-R.stl,A1-HARD-06,common_rover_v227,right printable wheelbase side rail with axle carriers,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,moving model wheelbase; axle carrier rail; low-load printed model
15,15_rigid_A1-HARD-06,RIGID,PS-RV227-AXLE-HUB-S,stl/PS-RV227-AXLE-HUB-S.stl,1,1,rover_v227_out\stl\PS-RV227-AXLE-HUB-S.stl,A1-HARD-06,common_rover_v227,printable axle hub and wheel retainer set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,low-load model hubs/retainers for printed axles and TPU wheels
16,16_rigid_A1-HARD-07,RIGID,PS-RV227-HULL-SKID,stl/PS-RV227-HULL-SKID.stl,1,1,rover_v227_out\stl\PS-RV227-HULL-SKID.stl,A1-HARD-07,common_rover_v227,central shallow boat skid hull,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,shallow underbody boat/skid tray for low-load moving model and float layout check
16,16_rigid_A1-HARD-07,RIGID,PS-RV227-FLT-L,stl/PS-RV227-FLT-L.stl,1,1,rover_v227_out\stl\PS-RV227-FLT-L.stl,A1-HARD-07,common_rover_v227,left side float pontoon,False,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,support-clean side float / mud skid pontoon; model only until sealed
16,16_rigid_A1-HARD-07,RIGID,PS-RV227-FLT-R,stl/PS-RV227-FLT-R.stl,1,1,rover_v227_out\stl\PS-RV227-FLT-R.stl,A1-HARD-07,common_rover_v227,right side float pontoon,False,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,support-clean side float / mud skid pontoon; model only until sealed
17,17_rigid_A1-HARD-08,RIGID,PS-RV227-PAX-6X172-S,stl/PS-RV227-PAX-6X172-S.stl,1,1,rover_v227_out\stl\PS-RV227-PAX-6X172-S.stl,A1-HARD-08,common_rover_v227,printed 6mm class axle surrogate set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,plastic surrogate for 6mm x 172mm wheel axles; low-load model only
17,17_rigid_A1-HARD-08,RIGID,PS-RV227-PAX-4X54-S,stl/PS-RV227-PAX-4X54-S.stl,1,1,rover_v227_out\stl\PS-RV227-PAX-4X54-S.stl,A1-HARD-08,common_rover_v227,printed 4mm class gearbox rod surrogate set,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,plastic surrogate for 4mm x 54mm gearbox rods; low-load model only
17,17_rigid_A1-HARD-08,RIGID,PS-RV227-PAX-6X52-S,stl/PS-RV227-PAX-6X52-S.stl,1,1,rover_v227_out\stl\PS-RV227-PAX-6X52-S.stl,A1-HARD-08,common_rover_v227,printed 6mm class PTO alignment surrogate set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,plastic surrogate for 6mm x 52mm PTO/alignment rods; low-load model only
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-AXLE-SPROCKET-S,stl/PS-RV227-AXLE-SPROCKET-S.stl,1,1,rover_v227_out\stl\PS-RV227-AXLE-SPROCKET-S.stl,A1-HARD-09,common_rover_v227,axle sprocket and spacer set for four wheels,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,four axle sprockets/pulleys plus spacers for printed wheel axles
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-FLT-BRACKET-S,stl/PS-RV227-FLT-BRACKET-S.stl,1,1,rover_v227_out\stl\PS-RV227-FLT-BRACKET-S.stl,A1-HARD-09,common_rover_v227,float and hull bracket set,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,brackets connecting side floats and central hull/skid to lower frame
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-GBOX-INTERNAL-L,stl/PS-RV227-GBOX-INTERNAL-L.stl,1,1,rover_v227_out\stl\PS-RV227-GBOX-INTERNAL-L.stl,A1-HARD-09,common_rover_v227,left gearbox internal gear mockup cartridge,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed gear train mockup replacing metal gears for low-load model
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-GBOX-INTERNAL-R,stl/PS-RV227-GBOX-INTERNAL-R.stl,1,1,rover_v227_out\stl\PS-RV227-GBOX-INTERNAL-R.stl,A1-HARD-09,common_rover_v227,right gearbox internal gear mockup cartridge,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,printed gear train mockup replacing metal gears for low-load model
18,18_rigid_A1-HARD-09,RIGID,PS-RV227-LOWER-FRAME,stl/PS-RV227-LOWER-FRAME.stl,1,1,rover_v227_out\stl\PS-RV227-LOWER-FRAME.stl,A1-HARD-09,common_rover_v227,one-piece visible lower undercarriage wheelbase frame,True,AXIS24_14,auto-flat,not_printed,not_sliced,not_assembled,clear wheelbase frame with front/rear axle carriers and center gearbox mounts
19,19_rigid_A1-HARD-10,RIGID,PS-RV227-FLT-RCV-FR-S,stl/PS-RV227-FLT-RCV-FR-S.stl,1,1,rover_v227_out\stl\PS-RV227-FLT-RCV-FR-S.stl,A1-HARD-10,common_rover_v227,front/rear cross float receiver saddle set,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,front and rear cross saddles for float blocks; avoids side-width growth
19,19_rigid_A1-HARD-10,RIGID,PS-RV227-FLT-RCV-L,stl/PS-RV227-FLT-RCV-L.stl,1,1,rover_v227_out\stl\PS-RV227-FLT-RCV-L.stl,A1-HARD-10,common_rover_v227,left inboard side float receiver rail,False,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,removable inboard side receiver for FLT-L or foam float; keeps float mount inside wheel envelope where possible
19,19_rigid_A1-HARD-10,RIGID,PS-RV227-FLT-RCV-R,stl/PS-RV227-FLT-RCV-R.stl,1,1,rover_v227_out\stl\PS-RV227-FLT-RCV-R.stl,A1-HARD-10,common_rover_v227,right inboard side float receiver rail,False,AXIS24_12,auto-flat,not_printed,not_sliced,not_assembled,removable inboard side receiver for FLT-R or foam float; keeps float mount inside wheel envelope where possible
20,20_rigid_A1-HARD-METAL-PRINT,RIGID,REF-METAL-01-6mm-x-172mm,REF-METAL-01-6mm-x-172mm.stl,1,1,rover_v227_out\reference_metal_stl\REF-METAL-01-6mm-x-172mm.stl,A1-HARD-METAL-PRINT,printed_metal_replacement_model,3D printed replacement model for REF-METAL-01-6mm-x-172mm,False,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,MODEL ONLY: reference metal rod printed as rigid plastic surrogate; replace with real metal for load/field tests
20,20_rigid_A1-HARD-METAL-PRINT,RIGID,REF-METAL-03-6mm-x-52mm,REF-METAL-03-6mm-x-52mm.stl,1,1,rover_v227_out\reference_metal_stl\REF-METAL-03-6mm-x-52mm.stl,A1-HARD-METAL-PRINT,printed_metal_replacement_model,3D printed replacement model for REF-METAL-03-6mm-x-52mm,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,MODEL ONLY: reference metal rod printed as rigid plastic surrogate; replace with real metal for load/field tests
20,20_rigid_A1-HARD-METAL-PRINT,RIGID,REF-METAL-02-4mm-x-54mm,REF-METAL-02-4mm-x-54mm.stl,1,1,rover_v227_out\reference_metal_stl\REF-METAL-02-4mm-x-54mm.stl,A1-HARD-METAL-PRINT,printed_metal_replacement_model,3D printed replacement model for REF-METAL-02-4mm-x-54mm,True,AXIS24_00,auto-flat,not_printed,not_sliced,not_assembled,MODEL ONLY: reference metal rod printed as rigid plastic surrogate; replace with real metal for load/field tests
